Description,TIMESTAMP
Statistics: FilesDownloaded:39; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336415283; ReusedBytes:3213335800460; DownloadedBytes:173961; RunTimeInSec:244; ManifestTimeSec:15; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:04:18.6165778Z
Statistics: FilesDownloaded:43; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640267002; ReusedBytes:1148639618212; DownloadedBytes:173961; RunTimeInSec:196; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T12:04:50.2571228Z
Statistics: FilesDownloaded:28; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640266782; ReusedBytes:1148639740829; DownloadedBytes:33527; RunTimeInSec:176; ManifestTimeSec:11; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T12:07:47.3633884Z
Statistics: FilesDownloaded:47; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150309898; ReusedBytes:1151149626886; DownloadedBytes:207702; RunTimeInSec:347; ManifestTimeSec:18; CleanupTimeSec:1; CSWDoneSizeBytes:1540945053478; FilesFilterOutBySize:0,2020-07-02T12:07:59.7534838Z
Statistics: FilesDownloaded:24; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336415278; ReusedBytes:3213335844548; DownloadedBytes:0; RunTimeInSec:248; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:08:27.7521675Z
Statistics: FilesDownloaded:57; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640422823; ReusedBytes:1146663453077; DownloadedBytes:1976493897; RunTimeInSec:609; ManifestTimeSec:11; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T12:17:57.0117495Z
Statistics: FilesDownloaded:64; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150467571; ReusedBytes:1149172314953; DownloadedBytes:1977525617; RunTimeInSec:756; ManifestTimeSec:18; CleanupTimeSec:1; CSWDoneSizeBytes:1540945053478; FilesFilterOutBySize:0,2020-07-02T12:20:37.2134419Z
Statistics: FilesDownloaded:50; TotalNumberOfFiles:541244; SnapshotSizeBytes:1118192283696; ReusedBytes:1118017411222; DownloadedBytes:3791678213; RunTimeInSec:325; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1533201194573; FilesFilterOutBySize:0,2020-07-02T12:23:23.3273372Z
Statistics: FilesDownloaded:27; TotalNumberOfFiles:704142; SnapshotSizeBytes:1148640850610; ReusedBytes:1148640350405; DownloadedBytes:6746; RunTimeInSec:176; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T12:26:20.3431168Z
Statistics: FilesDownloaded:76; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336595622; ReusedBytes:3211159684631; DownloadedBytes:2176435480; RunTimeInSec:1080; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:26:28.8590922Z
